Dataset,AvgValAcc,DeviationVal,AvgTestAcc,Deviation,HiddenDim,LR,Dropout,GCNTime,InnerIterations,InnerLR,Gamma,Layers
chameleon_filtered.npz,26.97,0.00,29.78,0.00,128,0.001,0.4130296,4.247703790664673,10,0.001,0.0,2
Cora,30.18,0.00,28.17,0.00,128,0.01,0.4130296,4.103826999664307,10,0.001,0.0,2
chameleon_filtered.npz,30.34,0.00,26.97,0.00,128,0.001,0.4130296,5.202481031417847,10,0.001,0.0,4
Cora,30.78,0.00,29.78,0.00,128,0.01,0.4130296,5.106887340545654,10,0.001,0.0,4
chameleon_filtered.npz,27.53,0.00,23.60,0.00,128,0.001,0.4130296,6.218627214431763,10,0.001,0.0,8
Cora,31.39,0.00,28.57,0.00,128,0.01,0.4130296,6.748330593109131,10,0.001,0.0,8
chameleon_filtered.npz,30.34,0.00,31.46,0.00,128,0.001,0.4130296,9.48890471458435,10,0.001,0.0,16
Cora,32.60,0.00,26.76,0.00,128,0.01,0.4130296,9.859068870544434,10,0.001,0.0,16
chameleon_filtered.npz,15.73,0.00,15.73,0.00,128,0.001,0.4130296,15.859776735305786,10,0.001,0.0,32
Cora,28.17,0.00,32.39,0.00,128,0.01,0.4130296,16.483065128326416,10,0.001,0.0,32
chameleon_filtered.npz,24.72,0.00,29.78,0.00,128,0.001,0.4130296,28.515273094177246,10,0.001,0.0,64
Cora,30.58,0.00,29.38,0.00,128,0.01,0.4130296,29.741591930389404,10,0.001,0.0,64
chameleon_filtered.npz,31.46,0.00,24.16,0.00,128,0.001,0.4130296,52.892695903778076,10,0.001,0.0,128
Cora,28.37,0.00,32.19,0.00,128,0.01,0.4130296,57.845526456832886,10,0.001,0.0,128
